team_key,match_count,opr,ridge_offense,ridge_defense,defensive_specialist_index_shrunk,rank_ridge_defense_best,rank_defensive_specialist_best,suppression_rating_abs,suppression_rating_pct,avg_absolute_suppression,aggregate_suppression_pct,avg_match_suppression_pct,rank_suppression_abs_best,rank_suppression_pct_best,rank_avg_match_suppression_pct_best,suppression_rating_pct_shrunk,suppression_samples
frc1807,36,40.09655233263723,23.060615548608794,6.3844663756892475,2.9673570870113175,1.0,1.0,5.331365404569764,-0.003532781430358736,-33.419126251199586,-0.27781554309645545,-0.2433720028805967,2.0,1.0,1.0,-0.003224973466904743,25
frc5181,36,98.64059199941283,61.898855345212205,-1.1647814984342493,2.412687718519295,5.0,2.0,4.672236635099981,-0.01136994808629318,-34.783224246840604,-0.33830251513917287,-0.2829902984465325,3.0,3.0,2.0,-0.010169590728638078,24
frc341,36,198.75525718114196,138.49809164420762,2.913698104256838,2.0606750117438235,2.0,3.0,2.232716420182398,-0.01758267786096285,-39.07278207612426,-0.3724885769675414,-0.3810668679967416,4.0,5.0,5.0,-0.01572642516943741,24
frc1712,36,23.251832686351378,9.16757947730463,-3.5099426476552478,1.6122437623931116,6.0,4.0,-2.621043689299793,-0.05468013489466055,-45.72242929786758,-0.40808216911840894,-0.3594868031734183,7.0,18.0,4.0,-0.04991590554871826,25
frc223,36,31.42633113104464,12.897393228896362,-4.956809618248909,1.568707475517338,8.0,5.0,-7.5689879304517245,-0.03861117839430893,-52.16939964009738,-0.39279617451271526,-0.389104219046954,12.0,10.0,6.0,-0.03152589514454373,20
frc41,36,20.022056510280937,3.353143565048956,-8.955841094016268,1.4183529105348938,16.0,6.0,-8.928096341406457,-0.05433803055408905,-59.83546385356118,-0.5204813081818204,-0.35809494579176865,15.0,17.0,3.0,-0.04757810980672857,23
frc1218,36,119.63841775022571,81.24964186814347,-4.391162811435327,1.368418590266631,7.0,7.0,-0.2475041284620314,-0.024406782706773787,-47.43947066512224,-0.4018592901508682,-0.4581857870793642,6.0,6.0,12.0,-0.01890541259156761,18
frc3314,36,80.52113869400142,49.91940617893773,-0.8132762140857142,1.2866929855493425,4.0,8.0,5.802361849279195,-0.02517254668622111,-37.30176822226839,-0.35210259483583667,-0.4990660716724393,1.0,7.0,21.0,-0.022515010222870988,24
frc2607,36,108.30524013431234,73.11730878039506,-5.638831799973008,1.22325773997677,9.0,9.0,2.056075295048864,-0.0071478502776122005,-38.988948607926424,-0.4061209137485285,-0.5,5.0,2.0,23.0,-0.0065250647245296105,25
frc10979,36,32.11046904107516,9.685730638982937,-15.24688549223733,1.122306359973991,33.0,10.0,-7.64628371679637,-0.014942147577074235,-53.897132995843585,-0.472862853320476,-0.42974340158670915,13.0,4.0,8.0,-0.012200212408398619,20
frc272,36,118.75659743597035,77.96855270876809,-8.218967457559511,1.0286603947212543,13.0,11.0,-14.813145190430026,-0.07790986683317933,-63.83564635371392,-0.5594458122176805,-0.4229390583396391,32.0,37.0,7.0,-0.06034872335002822,18
frc1168,36,26.4432373756673,8.586351785820563,-11.052896207662508,1.0141238600301614,22.0,12.0,-17.50375673021845,-0.02696325690647773,-70.40054893207494,-0.5736867242659072,-0.4703016821054645,44.0,8.0,14.0,-0.022015407074814964,20
frc11,36,102.52808966368892,66.15778091569784,-5.803610167324003,0.9323456261831194,10.0,13.0,-4.877171175066737,-0.06809455973931547,-54.46016141381177,-0.4974796725827564,-0.45804536665596934,10.0,26.0,11.0,-0.0633925851916377,26
frc3637,36,65.57759064734154,44.48627474536947,-9.683831162693828,0.9200429483450753,18.0,14.0,-8.761920975651526,-0.06419806619548812,-51.78206771211318,-0.47838603487447745,-0.44060336421092905,14.0,24.0,10.0,-0.05621150806686187,23
frc8075,36,42.070866668471595,16.594557367628017,-9.314100096491046,0.9085084876242328,17.0,15.0,-11.088711407410601,-0.032638551664074256,-60.70853103367764,-0.5238901734085499,-0.5,17.0,9.0,23.0,-0.025974491358408056,19
frc316,36,192.80595908124235,140.43479379143196,0.7923730840515171,0.8882492000995105,3.0,16.0,-2.6353090379592228,-0.09007669686675068,-47.861170455871225,-0.40664099797520714,-0.4924197445776918,8.0,50.0,18.0,-0.08056704695307873,24
frc7045,36,64.1722119309434,35.33998006675979,-8.690563864606919,0.7626403306270582,15.0,17.0,-3.5917795798866217,-0.05784030748233707,-51.213475430725595,-0.5011549723603449,-0.5,9.0,21.0,23.0,-0.04603061380696353,19
frc5438,36,53.60534662416494,27.20753814604631,-19.07786257073361,0.7490801197212427,54.0,18.0,-14.732733483331797,-0.047188064021246146,-66.82206645181472,-0.5789804320975752,-0.43190412194365124,30.0,11.0,9.0,-0.03655171721881115,18
frc1923,36,54.2766080174348,29.98387098617192,-7.682918013960885,0.6837906398066024,12.0,19.0,-13.15204456915939,-0.0701285319998849,-61.26367497001516,-0.5315747000303985,-0.5,25.0,27.0,23.0,-0.060054486929258764,22
frc8513,36,171.11515521615866,123.39609711278493,-10.820284188248685,0.6371879989805462,20.0,20.0,-12.1041678579539,-0.05336617596284217,-61.76812067439911,-0.6115423158808353,-0.5,22.0,14.0,23.0,-0.05062759981677316,27
frc10584,36,32.7047932949866,10.803395676920067,-12.691441630826636,0.6093440818505758,26.0,21.0,-14.3340460143855,-0.04930721553322451,-60.53805048879823,-0.6298861269538162,-0.5,29.0,12.0,23.0,-0.0450111236588603,25
frc4285,36,60.1037571178323,36.30074758459168,-8.367925631124093,0.6002583902233143,14.0,22.0,-11.782827970130286,-0.08436822495046699,-57.387906321511316,-0.47906479743986635,-0.48703517143204544,20.0,43.0,16.0,-0.07387239894343259,23
