team_key,match_count,opr,ridge_offense,ridge_defense,suppression_rating_abs,suppression_rating_pct,suppression_samples,expected_score_against_total,actual_score_against_total,avg_expected_score_against,avg_actual_score_against,avg_absolute_suppression,aggregate_suppression_pct,avg_match_suppression_pct,avg_opponent_offense_seen,sample_reliability,suppression_reliability,suppression_rating_pct_shrunk,defensive_specialist_index,defensive_specialist_index_shrunk,rank_ridge_defense_best,rank_suppression_abs_best,rank_suppression_pct_best,rank_avg_match_suppression_pct_best,rank_defensive_specialist_best
frc1807,36,40.09655233263723,23.060615548608794,6.3844663756892475,5.331365404569764,-0.003532781430358736,25,3007.312502993823,3842.7906592738136,120.29250011975292,153.71162637095256,-33.419126251199586,-0.27781554309645545,-0.2433720028805967,93.13121411596393,0.8660254037844386,0.9128709291752769,-0.003224973466904743,3.426408825935456,2.9673570870113175,1.0,2.0,1.0,1.0,1.0
frc5181,36,98.64059199941283,61.898855345212205,-1.1647814984342493,4.672236635099981,-0.01136994808629318,24,2467.6061943575874,3302.403576281762,102.81692476489947,137.6001490117401,-34.783224246840604,-0.33830251513917287,-0.2829902984465325,76.40976819898387,0.8660254037844386,0.8944271909999159,-0.010169590728638078,2.7859318075152384,2.412687718519295,5.0,3.0,3.0,2.0,2.0
frc341,36,198.75525718114196,138.49809164420762,2.913698104256838,2.232716420182398,-0.01758267786096285,24,2517.518194681974,3455.264964508956,104.89659144508225,143.9693735212065,-39.07278207612426,-0.3724885769675414,-0.3810668679967416,80.09536299269755,0.8660254037844386,0.8944271909999159,-0.01572642516943741,2.379462545485264,2.0606750117438235,2.0,4.0,5.0,5.0,3.0
frc1712,36,23.251832686351378,9.16757947730463,-3.5099426476552478,-2.621043689299793,-0.05468013489466055,25,2801.055324019853,3944.116056466542,112.04221296079412,157.76464225866167,-45.72242929786758,-0.40808216911840894,-0.3594868031734183,85.06240007769608,0.8660254037844386,0.9128709291752769,-0.04991590554871826,1.8616587404339162,1.6122437623931116,6.0,7.0,18.0,4.0,4.0
frc223,36,31.42633113104464,12.897393228896362,-4.956809618248909,-7.5689879304517245,-0.03861117839430893,20,2656.308947245544,3699.6969400474914,132.8154473622772,184.98484700237458,-52.16939964009738,-0.39279617451271526,-0.389104219046954,80.86121962967968,0.8660254037844386,0.816496580927726,-0.03152589514454373,1.811387366539427,1.568707475517338,8.0,12.0,10.0,6.0,5.0
frc41,36,20.022056510280937,3.353143565048956,-8.955841094016268,-8.928096341406457,-0.05433803055408905,23,2644.121214341769,4020.3368829736755,114.961791927903,174.79725578146414,-59.83546385356118,-0.5204813081818204,-0.35809494579176865,83.67376374829661,0.8660254037844386,0.8755950357709131,-0.04757810980672857,1.6377728694064202,1.4183529105348938,16.0,15.0,17.0,3.0,6.0
frc1218,36,119.63841775022571,81.24964186814347,-4.391162811435327,-0.2475041284620314,-0.024406782706773787,18,2124.899169686038,2978.8096416582384,118.04995387144656,165.4894245365688,-47.43947066512224,-0.4018592901508682,-0.4581857870793642,70.83896689059445,0.8660254037844386,0.7745966692414834,-0.01890541259156761,1.5801136829090554,1.368418590266631,7.0,6.0,6.0,12.0,7.0
frc3314,36,80.52113869400142,49.91940617893773,-0.8132762140857142,5.802361849279195,-0.02517254668622111,24,2542.5613172542417,3437.8037545886837,105.9400548855934,143.24182310786182,-37.30176822226839,-0.35210259483583667,-0.4990660716724393,78.73339843030172,0.8660254037844386,0.8944271909999159,-0.022515010222870988,1.4857450831426324,1.2866929855493425,4.0,1.0,7.0,21.0,8.0
frc2607,36,108.30524013431234,73.11730878039506,-5.638831799973008,2.056075295048864,-0.0071478502776122005,25,2400.0825424166974,3374.8062576148586,96.00330169666789,134.99225030459434,-38.988948607926424,-0.4061209137485285,-0.5,75.41467879330533,0.8660254037844386,0.9128709291752769,-0.0065250647245296105,1.4124963709277627,1.22325773997677,9.0,5.0,2.0,23.0,9.0
frc10979,36,32.11046904107516,9.685730638982937,-15.24688549223733,-7.64628371679637,-0.014942147577074235,20,2279.609515417595,3357.5521753344683,113.98047577087975,167.87760876672343,-53.897132995843585,-0.472862853320476,-0.42974340158670915,76.06440375468718,0.8660254037844386,0.816496580927726,-0.012200212408398619,1.2959277580884256,1.122306359973991,33.0,13.0,4.0,8.0,10.0
