event_key,match_count
2026cancmp,136
2026cascmp,135
2026casnd,95
2026caetb,93
2026calas,92
2026capoh,92
2026casac,91
2026casnf,91
2026cagle,90
2026caoec,89
2026casnv,89
2026caven,87
2026cacac,85
2026caasv,84
2026casgv,73
2026capin,71
2026caclv,67
2026cahal,67
