address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
20809 2nd Ave,Petersburg,USA,[],2026-04-12,chcmp,2,District Championship,chcmp,,,,2026chcmp,,,Virginia State University Multipurpose Center,"FIRST Chesapeake District Championship presented by C-CAM, VSU, Go Tec, and NASA",,10,Double Elimination Bracket (8 Alliances),23803,,Chesapeake,2026-04-09,VA,America/New_York,"[{'channel': '5qcDccJgffw', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 'tJbvY_pUq_A', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': '4t89gWQNq_Q', 'date': '2026-04-12', 'type': 'youtube'}]",https://www.firstchesapeake.org/,5,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
7100 Whittier Blvd,Bethesda,USA,[],2026-03-22,mdbet,1,District,mdbet,,,,2026mdbet,,,Walt Whitman High School,FCH District Bethesda MD Event presented by Bechtel,,10,Double Elimination Bracket (8 Alliances),20817,,Bethesda MD,2026-03-20,MD,America/New_York,"[{'channel': 'CyDKRBxQHS8', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'myzObUfYLOY', 'date': '2026-03-22', 'type': 'youtube'}]",https://www.firstchesapeake.org/,2,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
4798 Mountain Road,Pasadena,USA,[],2026-03-15,mdpas,1,District,mdpas,,,,2026mdpas,,,Chesapeake High School,FCH District Pasadena MD Event presented by Plummer Industries,,10,Double Elimination Bracket (8 Alliances),21122,,Pasadena MD,2026-03-13,MD,America/New_York,"[{'channel': 'l2KbqI3ZNtk', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'nbLGo___f8E', 'date': '2026-03-15', 'type': 'youtube'}]",https://www.firstchesapeake.org/,1,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
8065 New Cut Road,Severn,USA,[],2026-03-29,mdsev,1,District,mdsev,,,,2026mdsev,,,Severn Run High School,FCH District Severn MD Event presented by Arcfield,,10,Double Elimination Bracket (8 Alliances),21144,,Severn MD,2026-03-27,MD,America/New_York,"[{'channel': 'axhfOpXPceg', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'Ucmj3UHluWo', 'date': '2026-03-29', 'type': 'youtube'}]",https://www.firstchesapeake.org/,3,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
7630 Telegraph Road,Alexandria,USA,[],2026-03-08,vaale,1,District,vaale,,,,2026vaale,,,Hayfield Secondary  School,FCH District Alexandria VA Event presented by Qualcomm,,10,Double Elimination Bracket (8 Alliances),22315,,Alexandria VA,2026-03-06,VA,America/New_York,"[{'channel': 'PAM65JXk_ns', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'KK4cY0ruTow', 'date': '2026-03-08', 'type': 'youtube'}]",,0,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
3401 Bruin Lane,Blacksburg,USA,[],2026-03-29,vabla,1,District,vabla,,,,2026vabla,,,Blacksburg High School,FCH District Blacksburg VA Event presented by Ball,,10,Double Elimination Bracket (8 Alliances),24060,,Blacksburg VA,2026-03-27,VA,America/New_York,"[{'channel': 'Gv3W5EA4J48', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'BWJmH6hYow0', 'date': '2026-03-29', 'type': 'youtube'}]",https://www.firstchesapeake.org/,3,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
1996 Hawk Blvd,Chesapeake,USA,[],2026-03-22,vache,1,District,vache,,,,2026vache,,,Hickory High School,FCH District Chesapeake VA Event presented by Newport News Ship Yard / Hampton Roads Community Foundation (Norfolk Southern),,10,Double Elimination Bracket (8 Alliances),23322,,Chesapeake VA,2026-03-20,VA,America/New_York,"[{'channel': '77qJkWxm70I', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': '3-TCx8PWRpM', 'date': '2026-03-22', 'type': 'youtube'}]",https://www.firstchesapeake.org/,2,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
4801 Twin Hickory Road,Glen Allen,USA,[],2026-03-15,vagle,1,District,vagle,,,,2026vagle,,,Deep Run High School,FCH District Glen Allen VA Event presented by Porvair Filtration,,10,Double Elimination Bracket (8 Alliances),23059,,Glen Allen VA,2026-03-13,VA,America/New_York,"[{'channel': 'Eg8RHf3edqk', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'DC086EaLlHI', 'date': '2026-03-15', 'type': 'youtube'}]",https://www.firstchesapeake.org/,1,2026,fch,FIRST Chesapeake,2026fch,19,54,2026
