address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
227 Campus Drive,Asheville,USA,[],2026-03-15,ncash,1,District,ncash,,,,2026ncash,,,Kimmel Arena @ UNC Asheville,FNC District UNC Asheville Event,,10,Double Elimination Bracket (8 Alliances),28804,,UNC Asheville,2026-03-13,NC,America/New_York,"[{'channel': 'QhcsbksvyCQ', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'Mo8RnvIjVy0', 'date': '2026-03-15', 'type': 'youtube'}]",http://www.firstnorthcarolina.org/,1,2026,fnc,FIRST North Carolina,2026fnc,15,50,2026
1355 Cox Mill Road,Concord,USA,[],2026-03-08,nccab,1,District,nccab,,,,2026nccab,,,Cox Mill High School,FNC District Cabarrus Event,,10,Double Elimination Bracket (8 Alliances),28027,,Cabarrus,2026-03-06,NC,America/New_York,"[{'channel': 'Yc6ylslW_bQ', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'wCuM-4EaM-A', 'date': '2026-03-08', 'type': 'youtube'}]",https://www.firstnorthcarolina.org/,0,2026,fnc,FIRST North Carolina,2026fnc,15,50,2026
1921 W. Gate City Blvd,Greensboro,USA,[],2026-04-12,nccmp,2,District Championship,nccmp,,,,2026nccmp,,,Greensboro Special Events Center,FIRST North Carolina State Championship,,10,Double Elimination Bracket (8 Alliances),27403,,North Carolina,2026-04-09,NC,America/New_York,"[{'channel': 'oTCwpGJN88Y', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 'PrR1aaxnefk', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': 'qBSAphTf52Y', 'date': '2026-04-12', 'type': 'youtube'}]",http://www.firstnorthcarolina.org/,5,2026,fnc,FIRST North Carolina,2026fnc,15,50,2026
104 E Haggard Ave,Elon,USA,[],2026-03-22,ncelo,1,District,ncelo,,,,2026ncelo,,,Elon University,FNC District Elon University Event,,10,Double Elimination Bracket (8 Alliances),27244,,Elon University,2026-03-20,NC,America/New_York,"[{'channel': 'VTVDRJNn010', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'BGoKdZOgA1Y', 'date': '2026-03-22', 'type': 'youtube'}]",https://www.firstnorthcarolina.org/,2,2026,fnc,FIRST North Carolina,2026fnc,15,50,2026
176 University Drive,Pembroke,USA,[],2026-03-29,ncpem,1,District,ncpem,,,,2026ncpem,,,Jones Center @ UNC Pembroke,FNC District UNC Pembroke Event,,10,Double Elimination Bracket (8 Alliances),28372,,UNC Pembroke,2026-03-27,NC,America/New_York,"[{'channel': 'lLcez2OqZr4', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'Wi7gH5g0iXU', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.firstnorthcarolina.org/,3,2026,fnc,FIRST North Carolina,2026fnc,15,50,2026
1150 Forestville Road,Wake Forest,USA,[],2026-03-08,ncwak,1,District,ncwak,,,,2026ncwak,,,Heritage High School,FNC District Wake County Event #1,,10,Double Elimination Bracket (8 Alliances),27587,,Wake County #1,2026-03-06,NC,America/New_York,"[{'channel': 'ELWw4o1I4jM', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'ctCYUxyIAtE', 'date': '2026-03-08', 'type': 'youtube'}]",https://www.firstnorthcarolina.org,0,2026,fnc,FIRST North Carolina,2026fnc,15,50,2026
1150 Forestville Road,Wake Forest,USA,[],2026-03-22,ncwk2,1,District,ncwk2,,,,2026ncwk2,,,Heritage High School,FNC District Wake County Event #2,,10,Double Elimination Bracket (8 Alliances),27587,,Wake County #2,2026-03-20,NC,America/New_York,"[{'channel': 'OJEyEq-z0q8', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'Ua_AgKy-1Yo', 'date': '2026-03-22', 'type': 'youtube'}]",https://www.firstnorthcarolina.org/,2,2026,fnc,FIRST North Carolina,2026fnc,15,50,2026
