address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
2121 E Emmers Drive,Appleton,USA,[],2026-03-22,wiapp,1,District,wiapp,,,,2026wiapp,,,Appleton East High School,WIN District Appleton Event,,10,Double Elimination Bracket (8 Alliances),54915,,Appleton,2026-03-20,WI,America/Chicago,"[{'channel': 'PuCUrSRgjCc', 'date': '2026-03-21', 'type': 'youtube'}]",https://www.firstinspireswi.org/events/frc,2,2026,win,FIRST Wisconsin,2026win,12,36,2026
3305 Lilly Road,Brookfield,USA,[],2026-04-19,wicmp,2,District Championship,wicmp,,,,2026wicmp,,,Brookfield East High School,FIRST Wisconsin State Championship presented by GE HealthCare,,10,Double Elimination Bracket (8 Alliances),53005,,Wisconsin,2026-04-17,WI,America/Chicago,"[{'channel': 'pSqy6Zcw4ro', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': 'cXG9AILl3Sc', 'date': '2026-04-19', 'type': 'youtube'}]",https://www.firstinspireswi.org/events/frc,6,2026,win,FIRST Wisconsin,2026win,12,36,2026
300 Harborview Plaza,La Crosse,USA,[],2026-04-04,wilax,1,District,wilax,,,,2026wilax,,,La Crosse Center,WIN District Seven Rivers Event presented by Mathy Construction Company,,10,Double Elimination Bracket (8 Alliances),54601,,Seven Rivers,2026-04-02,WI,America/Chicago,"[{'channel': 'WVP-xYySL0s', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'aeAlJGlrqNE', 'date': '2026-04-04', 'type': 'youtube'}]",https://www.firstinspireswi.org/events/frc,4,2026,win,FIRST Wisconsin,2026win,12,36,2026
605 W Veterans Way,Mukwonago,USA,[],2026-03-29,wimuk,1,District,wimuk,,,,2026wimuk,,,Mukwonago High School,WIN District Mukwonago Event presented by Regal Rexnord,,10,Double Elimination Bracket (8 Alliances),53149,,Mukwonago,2026-03-27,WI,America/Chicago,"[{'channel': 'B02_ENFnh-4', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': '1AAJoRRmcJo', 'date': '2026-03-29', 'type': 'youtube'}]",https://www.firstinspireswi.org/events/frc,3,2026,win,FIRST Wisconsin,2026win,12,36,2026
W3718 South Drve,Plymouth,USA,[],2026-03-08,wiply,1,District,wiply,,,,2026wiply,,,Lakeland University ,WIN District Lakeland Event,,10,Double Elimination Bracket (8 Alliances),53073,,Lakeland,2026-03-06,WI,America/Chicago,"[{'channel': 'Xabc6gnpBX8', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'G0i7TdQQo_Q', 'date': '2026-03-08', 'type': 'youtube'}]",https://www.firstinspireswi.org/events/frc,0,2026,win,FIRST Wisconsin,2026win,12,36,2026
