address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
5794 Casper Padgett Way,North Charleston,USA,[],2026-03-07,sccha,1,District,sccha,,,,2026sccha,,,The City of North Charleston Athletic Center,FSC District North Charleston Event presented by SCDE & City of North Charleston Recreation,,10,Double Elimination Bracket (8 Alliances),29406,,North Charleston,2026-03-05,SC,America/New_York,"[{'channel': 'QYgVmUsDvpU', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': '2jecWoCS70U', 'date': '2026-03-07', 'type': 'youtube'}]",http://firstsouthcarolina.org,0,2026,fsc,FIRST South Carolina,2026fsc,7,32,2026
3027 Martin Luther King Jr Blvd,Anderson,USA,[],2026-04-11,sccmp,2,District Championship,sccmp,,,,2026sccmp,,,Civic Center of Anderson,FIRST South Carolina State Championship presented by Magna,,10,Double Elimination Bracket (8 Alliances),29625,,South Carolina,2026-04-09,SC,America/New_York,"[{'channel': '98bFbQ_dz0E', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': '', 'type': 'youtube'}, {'channel': '2meqn1EIQLs', 'type': 'youtube'}, {'channel': 'QYgVmUsDvpU', 'type': 'youtube'}]",https://www.firstsouthcarolina.org,5,2026,fsc,FIRST South Carolina,2026fsc,7,32,2026
451 East Carolina Ave,Hartsville,USA,[],2026-03-28,schar,1,District,schar,,,,2026schar,,,Coker University,FSC District Hartsville Event,,10,Double Elimination Bracket (8 Alliances),29550,,Hartsville,2026-03-26,SC,America/New_York,"[{'channel': 'we7EUlxeV3Y', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': '6GSh-9K9zVk', 'date': '2026-03-28', 'type': 'youtube'}]",https://www.firstsouthcarolina.org,3,2026,fsc,FIRST South Carolina,2026fsc,7,32,2026
2615 Lower Richland Blvd,Hopkins,USA,[],2026-03-14,schop,1,District,schop,,,,2026schop,,,Lower Richland High School,FSC District Richland Event presented by Aflac & RCSD1,,10,Double Elimination Bracket (8 Alliances),29061,,Richland,2026-03-12,SC,America/New_York,"[{'channel': '_zJ1x3lMrtE', 'type': 'youtube'}, {'channel': 'i5hRsXzC0gs', 'type': 'youtube'}]",https://www.firstsouthcarolina.org,1,2026,fsc,FIRST South Carolina,2026fsc,7,32,2026
