address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
Mishmar Hagvul 5,Hadera,Israel,[],2026-03-31,iscmp,2,District Championship,iscmp,,,,2026iscmp,,,Enerbox,FIRST Israel District Championship,,10,Double Elimination Bracket (8 Alliances),,,Israel,2026-03-29,M,Asia/Jerusalem,"[{'channel': '_0t8wbCQako', 'date': '2026-03-29', 'type': 'youtube'}]",http://firstisrael.org.il,3,2026,isr,FIRST Israel,2026isr,12,42,2026
Haltztadion St 1,Natanya,Israel,[],2026-03-10,isde1,1,District,isde1,,,,2026isde1,,,Arena Natanya,ISR District Event #1,,10,Double Elimination Bracket (8 Alliances),,,ISR #1,2026-03-08,M,Asia/Jerusalem,[],http://firstisrael.org.il,0,2026,isr,FIRST Israel,2026isr,12,42,2026
Haltztadion St 1,Natanya,Israel,[],2026-03-12,isde2,1,District,isde2,,,,2026isde2,,,Arena Natanya,ISR District Event #2,,10,Double Elimination Bracket (8 Alliances),,,ISR #2,2026-03-10,M,Asia/Jerusalem,[],http://firstisrael.org.il,1,2026,isr,FIRST Israel,2026isr,12,42,2026
Mishmar Hagvul 5,Hadera,Israel,[],2026-03-17,isde3,1,District,isde3,,,,2026isde3,,,Enerbox,ISR District Event #3,,10,Double Elimination Bracket (8 Alliances),,,ISR #3,2026-03-15,M,Asia/Jerusalem,[],http://firstisrael.org.il,1,2026,isr,FIRST Israel,2026isr,12,42,2026
Mishmar Hagvul 5,Hadera,Israel,[],2026-03-19,isde4,1,District,isde4,,,,2026isde4,,,Enerbox,ISR District Event #4,,10,Double Elimination Bracket (8 Alliances),,,ISR #4,2026-03-17,M,Asia/Jerusalem,[],http://firstisrael.org.il,2,2026,isr,FIRST Israel,2026isr,12,42,2026
