address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
1202 E 38th St,Indianapolis,USA,[],2026-04-19,incmp,2,District Championship,incmp,,,,2026incmp,,,Indiana State Fairgrounds Blue Ribbon Pavillion,FIRST Indiana State Championship,,10,Double Elimination Bracket (8 Alliances),81623,,Indiana,2026-04-17,IN,America/New_York,"[{'channel': 'firstinrobotics', 'type': 'twitch'}]",https://www.firstindianarobotics.org/,6,2026,fin,FIRST Indiana Robotics,2026fin,12,38,2026
230 S Marr Road,Columbus,USA,[],2026-03-22,incol,1,District,incol,,,,2026incol,,,Columbus East High School,FIN District Columbus Event,,10,Double Elimination Bracket (8 Alliances),47201,,Columbus,2026-03-20,IN,America/New_York,"[{'channel': 'firstinrobotics', 'type': 'twitch'}]",https://www.firstindianarobotics.org/,2,2026,fin,FIRST Indiana Robotics,2026fin,12,38,2026
1801 S 18th Street,Lafayette,USA,[],2026-03-28,inlaf,1,District,inlaf,,,,2026inlaf,,,Jefferson High School,FIN District Lafayette Event,,10,Double Elimination Bracket (8 Alliances),47905,,Lafayette,2026-03-26,IN,America/New_York,"[{'channel': 'firstinrobotics', 'type': 'twitch'}]",https://www.firstindianarobotics.org/,3,2026,fin,FIRST Indiana Robotics,2026fin,12,38,2026
56100 N Bitterswet Road,Mishawaka,USA,[],2026-03-08,inmis,1,District,inmis,,,,2026inmis,,,Penn High School,FIN District Mishawaka Event,,10,Double Elimination Bracket (8 Alliances),46545,,Mishawaka,2026-03-06,IN,America/New_York,"[{'channel': 'firstinrobotics', 'type': 'twitch'}]",https://www.firstindianarobotics.org/,0,2026,fin,FIRST Indiana Robotics,2026fin,12,38,2026
608 E Walnut Street,Washington,USA,[],2026-04-04,inwas,1,District,inwas,,,,2026inwas,,,Washington High School,FIN District Washington Event presented by Toyota IN & VU CARA,,10,Double Elimination Bracket (8 Alliances),98815,,Washington,2026-04-02,IN,America/New_York,"[{'channel': 'firstinrobotics', 'type': 'twitch'}]",https://www.firstindianarobotics.org/,4,2026,fin,FIRST Indiana Robotics,2026fin,12,38,2026
