event_key,match_count
2026txcmp1,105
2026txcmp2,105
2026txsan,89
2026txcl2,83
2026txbel,81
2026txcle,79
2026txama,77
2026txdri,77
2026txfar,77
2026txhou,75
2026txman,69
2026txwac,65
2026txfor,63
2026txmca,51
2026txcmp,2
