address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
100 W Oglethorpe Blvd,Albany,USA,[],2026-03-28,gaalb,1,District,gaalb,,,,2026gaalb,,,Albany Civic Center,PCH District Albany Event presented by Procter & Gamble,,10,Double Elimination Bracket (8 Alliances),31701,,Albany,2026-03-26,GA,America/New_York,"[{'channel': 'NnVwXOyhvHw', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': '3Pnd05o_Ds8', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'qDvy6aOFfMo', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': '_z3LSswc0D8', 'date': '2026-03-28', 'type': 'youtube'}]",https://gafirst.org/events,3,2026,pch,Peachtree,2026pch,13,45,2026
1400 Coleman Ave,Macon,USA,[],2026-04-11,gacmp,2,District Championship,gacmp,,,,2026gacmp,,,Mercer University Macon - Hawkins Arena,Peachtree District Championship presented by Mercer University,,10,Double Elimination Bracket (8 Alliances),31201,,Peachtree,2026-04-08,GA,America/New_York,"[{'channel': 'w4z1Lvi3xPE', 'date': '2026-04-09', 'type': 'youtube'}, {'channel': 'i6OFwFiENSc', 'date': '2026-04-09', 'type': 'youtube'}, {'channel': 'TLlcreGyeh4', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 'iN_hXUhM4Wg', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': '2x5t8ceju6k', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': 'BAxc982gL_8', 'date': '2026-04-11', 'type': 'youtube'}]",https://gafirst.org/events,5,2026,pch,Peachtree,2026pch,13,45,2026
400 4th Street,Columbus,USA,[],2026-03-21,gacol,1,District,gacol,,,,2026gacol,,,Columbus Civic Center,PCH District Columbus Event presented by Muscogee County School District (CTAE) and Columbus Development Authority,,10,Double Elimination Bracket (8 Alliances),31901,,Columbus,2026-03-19,GA,America/New_York,"[{'channel': '2bqkJasF_YM', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'zejx8zdZAGQ', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': '5MBR3hHVIvs', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': '9p0nhtAo380', 'date': '2026-03-21', 'type': 'youtube'}]",https://gafirst.org/events,2,2026,pch,Peachtree,2026pch,13,45,2026
2211 Tony Ingle Pkwy,Dalton,USA,[],2026-03-07,gadal,1,District,gadal,,,,2026gadal,,,Dalton Convention Center,PCH District Dalton Event presented by Shaw Industries,,10,Double Elimination Bracket (8 Alliances),30720,,Dalton,2026-03-05,GA,America/New_York,"[{'channel': '8htRkVNR3V0', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'IIkLQjLmEYY', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'bQcHmGcMthY', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'wj1DWZ9PmBY', 'date': '2026-03-07', 'type': 'youtube'}]",https://gafirst.org/events,0,2026,pch,Peachtree,2026pch,13,45,2026
2001 Riverside Drive,Gainesville,USA,[],2026-04-04,gagai,1,District,gagai,,,,2026gagai,,,Riverside Preparatory Academy,PCH District Gainesville Event presented by Honeywell,,10,Double Elimination Bracket (8 Alliances),30501,,Gainesville,2026-04-02,GA,America/New_York,"[{'channel': 'nh4xrsSH0hk', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': '08oBhTM7w4c', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'AeGy99R9oG4', 'date': '2026-04-04', 'type': 'youtube'}, {'channel': '48rePsFhERs', 'date': '2026-04-04', 'type': 'youtube'}]",https://gafirst.org/events,4,2026,pch,Peachtree,2026pch,13,45,2026
1335 Old Norcross Road,Lawrenceville,USA,[],2026-03-15,gagwi,1,District,gagwi,,,,2026gagwi,,,Discovery High School,PCH District Gwinnett Event presented by Gwinnett County Public Schools,,10,Double Elimination Bracket (8 Alliances),30046,,Gwinnett,2026-03-13,GA,America/New_York,"[{'channel': '4vlaC18ScDY', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'GUVQqS8bniw', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'CZZr7rg2oZo', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': 'dxafxz4G9WY', 'date': '2026-03-15', 'type': 'youtube'}]",https://gafirst.org/events,1,2026,pch,Peachtree,2026pch,13,45,2026
