address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
650 W. Easterday Ave,Sault Ste. Marie,USA,[],2026-03-28,milsu,1,District,milsu,,,,2026milsu,,,Lake Superior State University,FIM District LSSU Event presented by Lake Superior State University,,10,Double Elimination Bracket (8 Alliances),49783,,LSSU,2026-03-26,MI,America/New_York,"[{'channel': 'eCUxhisMrmU', 'date': '2026-03-26', 'type': 'youtube'}, {'channel': '_ZKNud1S6jo', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'YcZ2MuVhvw8', 'date': '2026-03-28', 'type': 'youtube'}]",http://www.firstinmichigan.org,3,2026,fim,FIRST in Michigan,2026fim,83,160,2026
555 E. Huron Blvd,Marysville,USA,[],2026-03-15,mimar,1,District,mimar,,,,2026mimar,,,Marysville High School,FIM District Marysville Event,,10,Double Elimination Bracket (8 Alliances),48040,,Marysville,2026-03-13,MI,America/New_York,"[{'channel': '3LpFxZtjP-M', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'NaljTQ55fB8', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'r3OxDR4tb68', 'date': '2026-03-15', 'type': 'youtube'}]",http://www.firstinmichigan.org,1,2026,fim,FIRST in Michigan,2026fim,83,160,2026
1001 S Barnes Street,Mason,USA,[],2026-03-29,mimas,1,District,mimas,,,,2026mimas,,,Mason High School,FIM District Mason Event presented by Altair,,10,Double Elimination Bracket (8 Alliances),48854,,Mason,2026-03-27,MI,America/New_York,"[{'channel': 'firstinspires33', 'type': 'twitch'}, {'channel': 'BInOPMGcPxI', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'gfZb5gdk5Fc', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'oNmk-Fd_xes', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.firstinmichigan.org,3,2026,fim,FIRST in Michigan,2026fim,83,160,2026
3901 N Saginaw Road,Midland,USA,[],2026-03-14,mimid,1,District,mimid,,,,2026mimid,,,HH Dow High School,FIM District Midland Event presented by Dow,,10,Double Elimination Bracket (8 Alliances),48640,,Midland,2026-03-12,MI,America/New_York,"[{'channel': 'neB6JokV6oA', 'date': '2026-03-12', 'type': 'youtube'}, {'channel': '_oZuIOGYB_4', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'HaV2ZRqkVHA', 'date': '2026-03-14', 'type': 'youtube'}]",http://www.firstinmichigan.org,1,2026,fim,FIRST in Michigan,2026fim,83,160,2026
2380 S Milford Road,Highland,USA,[],2026-03-14,mimil,1,District,mimil,,,,2026mimil,,,Milford High School,FIM District Milford Event presented by GM Proving Grounds,,10,Double Elimination Bracket (8 Alliances),49665,,Milford,2026-03-12,MI,America/New_York,"[{'channel': 'I8hSjHrN2VI', 'date': '2026-03-12', 'type': 'youtube'}, {'channel': 'aIxSiDuqTOY', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'oi5UrL9L600', 'date': '2026-03-14', 'type': 'youtube'}]",http://www.firstinmichigan.org,1,2026,fim,FIRST in Michigan,2026fim,83,160,2026
1155 S Elizabeth Street,Mt Pleasant,USA,[],2026-03-08,mimtp,1,District,mimtp,,,,2026mimtp,,,Mt Pleasant High School,FIM District Mt Pleasant Event presented by AT&T,,10,Double Elimination Bracket (8 Alliances),48858,,Mt Pleasant,2026-03-06,MI,America/New_York,"[{'channel': 'Zmw9hk2Mucw', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'Xhk3HzcMQgg', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'srMwHku-l2M', 'date': '2026-03-08', 'type': 'youtube'}]",http://www.firstinmichigan.org,0,2026,fim,FIRST in Michigan,2026fim,83,160,2026
16 N Quarterline Road,Muskegon,USA,[],2026-03-21,mimus,1,District,mimus,,,,2026mimus,,,Orchard View High School,FIM District Muskegon Event presented by RENK,,10,Double Elimination Bracket (8 Alliances),49442,,Muskegon,2026-03-19,MI,America/New_York,"[{'channel': 'cw601T-Vx7o', 'date': '2026-03-19', 'type': 'youtube'}, {'channel': 'jL2i4KzKqP0', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'kM-wvVy9CmQ', 'date': '2026-03-21', 'type': 'youtube'}]",http://www.firstinmichigan.org,2,2026,fim,FIRST in Michigan,2026fim,83,160,2026
1300 Campus Pkwy,Saline,USA,[],2026-03-29,misal,1,District,misal,,,,2026misal,,,Saline High School,FIM District Saline Event presented by Oracle,,10,Double Elimination Bracket (8 Alliances),48108,,Saline,2026-03-27,MI,America/New_York,"[{'channel': 'bxwOyr8Hm30', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'vbEoptUv-qU', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'hFz9REH9CMk', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.firstinmichigan.org,3,2026,fim,FIRST in Michigan,2026fim,83,160,2026
4333 John R Road,Troy,USA,[],2026-04-04,mitr2,1,District,mitr2,,,,2026mitr2,,,Troy Athens High School,FIM District Troy Event #2 presented by DTE Foundation,,10,Double Elimination Bracket (8 Alliances),,,Troy #2,2026-04-02,MI,America/New_York,"[{'channel': 'r91-yv766_U', 'date': '2026-04-02', 'type': 'youtube'}, {'channel': 'CNifdc77uA4', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'uJrwcxWJR70', 'date': '2026-04-04', 'type': 'youtube'}]",,4,2026,fim,FIRST in Michigan,2026fim,83,160,2026
4333 John R Road,Troy,USA,[],2026-03-29,mitry,1,District,mitry,,,,2026mitry,,,Troy Athens High School,FIM District Troy Event presented by Aptiv Foundation,,10,Double Elimination Bracket (8 Alliances),48085,,Troy,2026-03-27,MI,America/New_York,"[{'channel': 'T-d2iSO5PSM', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'N0nfh7-Tdzs', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': '09jfSq7lqP8', 'date': '2026-03-29', 'type': 'youtube'}, {'channel': 'o5DHfSTOYG0', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.firstinmichigan.org,3,2026,fim,FIRST in Michigan,2026fim,83,160,2026
5376 N Long Lake Road,Traverse City,USA,[],2026-03-21,mitvc,1,District,mitvc,,,,2026mitvc,,,Traverse City West Senior High School,FIM District Traverse City Event presented by Cone Drive,,10,Double Elimination Bracket (8 Alliances),49685,,Traverse City,2026-03-19,MI,America/New_York,"[{'channel': 'Ovyx7UVcjfY', 'date': '2026-03-19', 'type': 'youtube'}, {'channel': 'xXKSk-kaTMM', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'tfFVsOAJLUA', 'date': '2026-03-21', 'type': 'youtube'}]",http://www.firstinmichigan.org,2,2026,fim,FIRST in Michigan,2026fim,83,160,2026
Field House 10915 S Campus Drive,Allendale,USA,[],2026-03-28,miwmi,1,District,miwmi,,,,2026miwmi,,,Grand Valley State University,FIM District West Michigan Event presented by Grand Valley State University,,10,Double Elimination Bracket (8 Alliances),49401,,West Michigan,2026-03-26,MI,America/New_York,"[{'channel': 'RmtMnad6GOE', 'date': '2026-03-26', 'type': 'youtube'}, {'channel': 'SseY0clwtKk', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'dWSAKe4p0HQ', 'date': '2026-03-28', 'type': 'youtube'}]",http://www.firstinmichigan.org,3,2026,fim,FIRST in Michigan,2026fim,83,160,2026
