address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
1306 12th Street,Oregon City,USA,[],2026-03-28,orore,1,District,orore,,,,2026orore,,,Clackamas Academy of Industrial Science,PNW District Clackamas Academy Event,,10,Double Elimination Bracket (8 Alliances),97045,,Clackamas Academy,2026-03-26,OR,America/Los_Angeles,"[{'channel': 'firstinspires14', 'type': 'twitch'}, {'channel': 'firstinspires15', 'type': 'twitch'}, {'channel': 'zq8HiQrru4c', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'FrwOFI5KcnI', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'GJj5jbvS8cU', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'zxEZSykLqs0', 'date': '2026-03-28', 'type': 'youtube'}]",http://www.firstwa.org/,3,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
2330 - 17th Street NE,Salem,USA,[],2026-03-07,orsal,1,District,orsal,,,,2026orsal,,,Oregon State Fairgrounds,PNW District Oregon State Fair Event,,10,Double Elimination Bracket (8 Alliances),97301,,Oregon State Fair,2026-03-05,OR,America/Los_Angeles,"[{'channel': 'VPWDvwxLED0', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'x-4VAVyb4as', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'h-qcbsZw-xs', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'XWAhpt1cxxU', 'date': '2026-03-07', 'type': 'youtube'}]",https://firstwa.org/,0,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
6800 SW Wilsonville Road,Wilsonville,USA,[],2026-03-15,orwil,1,District,orwil,,,,2026orwil,,,Wilsonville High School,PNW District Wilsonville Event,,10,Double Elimination Bracket (8 Alliances),97070,,Wilsonville,2026-03-13,OR,America/Los_Angeles,"[{'channel': 'tY1iFSJ1U3k', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'qFn0ZgF3KTo', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'K3Ftdmvmw1E', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': 'XGLQ_8yjcQ0', 'date': '2026-03-15', 'type': 'youtube'}]",https://firstwa.org/,1,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
Reese Court 1136 Washington Street,Cheney,USA,[],2026-04-11,pncmp,2,District Championship,pncmp,,,,2026pncmp,,,Eastern Washington University,Pacific Northwest FIRST District Championship,,10,Double Elimination Bracket (8 Alliances),99004,,Pacific Northwest,2026-04-08,WA,America/Los_Angeles,"[{'channel': 'lKvB-lprL5k', 'date': '2026-04-09', 'type': 'youtube'}, {'channel': 'IfLCEM8pqIw', 'date': '2026-04-09', 'type': 'youtube'}, {'channel': 'BsaAVKgf9Qs', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 'qUzKUS0t24c', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 's3X4yqNg-88', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': '5cvdQIXj9nc', 'date': '2026-04-11', 'type': 'youtube'}]",http://www.firstwa.org,5,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
711 E Main Street,Auburn,USA,[],2026-03-29,waahs,1,District,waahs,,,,2026waahs,,,Auburn High School,PNW District Auburn Event,,10,Double Elimination Bracket (8 Alliances),98002,,Auburn,2026-03-27,WA,America/Los_Angeles,"[{'channel': 'firstinspires16', 'type': 'twitch'}, {'channel': 'firstinspires17', 'type': 'twitch'}, {'channel': 'B5iWzrntjFU', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'oLR6nFytrWc', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'ksNZtB3vApg', 'date': '2026-03-29', 'type': 'youtube'}, {'channel': 'NJvEYyU3ZGw', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.firstwa.org,3,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
10920 - 199th Ave Ct E,Bonney Lake,USA,[],2026-03-08,wabon,1,District,wabon,,,,2026wabon,,,Bonney Lake High School,PNW District Bonney Lake Event,,10,Double Elimination Bracket (8 Alliances),98391,,Bonney Lake,2026-03-06,WA,America/Los_Angeles,"[{'channel': 'tqImKZrD6B0', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': '21-aqNWtxko', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': '2CFKqm7IHfA', 'date': '2026-03-08', 'type': 'youtube'}, {'channel': 'mAsQeD8regk', 'date': '2026-03-08', 'type': 'youtube'}]",http://www.firstwa.org,0,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
100 – 140th Ave SE,Bellevue,USA,[],2026-03-22,wasam,1,District,wasam,,,,2026wasam,,,Sammamish High School,PNW District Sammamish Event,,10,Double Elimination Bracket (8 Alliances),98005,,Sammamish,2026-03-20,WA,America/Los_Angeles,"[{'channel': 'dZ_T_LNCg_U', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': '5GpOR-eBbNg', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'xgwgHLj5YZQ', 'date': '2026-03-22', 'type': 'youtube'}, {'channel': 'dGHzGk6_DlA', 'date': '2026-03-22', 'type': 'youtube'}, {'channel': 'eRglKjvZZCo', 'date': '2026-03-22', 'type': 'youtube'}]",https://firstwa.org/,2,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
7401 144th Place SE,Snohomish,USA,[],2026-03-15,wasno,1,District,wasno,,,,2026wasno,,,Glacier Peak High School,PNW District Glacier Peak Event,,10,Double Elimination Bracket (8 Alliances),98296,,Glacier Peak,2026-03-13,WA,America/Los_Angeles,"[{'channel': 'XcQ8EndxcuM', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'bURRb2HrvXA', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'i1eLOvf3548', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': 'KHvKahKD1OI', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': 'xU3Nbp_vpWE', 'date': '2026-03-15', 'type': 'youtube'}]",http://www.firstwa.org/,1,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
1301 S Fair Avenue,Yakima,USA,[],2026-03-21,wayak,1,District,wayak,,,,2026wayak,,,"SunDome, State Fair Park",PNW District SunDome Event,,10,Double Elimination Bracket (8 Alliances),98901,,SunDome,2026-03-19,WA,America/Los_Angeles,"[{'channel': 'Y538-wB-blE', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'stokCPqL9Xo', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'PH5qDFB1xq0', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'DvKmaFE-2Kc', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': '-zpBTdMWFG8', 'date': '2026-03-21', 'type': 'youtube'}]",http://www.firstwa.org/,2,2026,pnw,Pacific Northwest,2026pnw,21,50,2026
